,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
78,344.480011,41.3401108,-3.962,2.94,4.982,251.5,48.1,-184.89,4.64,0.99
2,344.672821,41.1971664,4.73,-5.637,8.128,804.3,68.0,-3.13,3.34,0.0
116,344.5950928,41.2889442,1.226,-0.13,1.443,183.1,56.3,-208.09,6.4,1.0
48,344.5523376,41.3134995,-0.702,1.343,1.896,348.3,58.8,-197.96,4.16,1.0
101,344.4651794,41.1913605,-4.631,-5.985,13.214,555.1,67.8,-106.86,4.25,0.0
147,344.5426331,41.3386955,-1.139,2.855,4.079,395.6,67.1,-186.25,4.37,0.99
124,344.578949,41.3750839,0.498,5.038,8.314,363.1,57.4,-192.76,4.37,1.0
28,344.5986633,41.2956963,1.387,0.275,1.968,394.0,60.7,-201.51,3.94,1.0
40,344.5652466,41.2620544,-0.12,-1.743,2.843,232.7,46.8,-213.17,4.62,1.0
77,344.4864197,41.2836952,-3.673,-0.445,4.943,239.3,42.8,-202.55,4.55,1.0
102,344.4642944,41.1936951,-4.671,-5.845,13.048,430.9,71.3,-43.06,4.71,0.0
67,344.5057373,41.3238068,-2.802,1.962,3.438,277.7,50.0,-189.22,4.64,0.99
