,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
3,344.664093,41.1913605,4.337,-5.985,8.489,214.8,54.7,-36.91,5.63,0.0
120,344.581543,41.3048897,0.615,0.827,1.802,376.4,62.5,-190.66,4.47,1.0
47,344.5552368,41.2593613,-0.571,-1.905,3.416,385.5,49.1,-205.76,2.88,1.0
53,344.5437012,41.292778,-1.091,0.1,1.293,483.2,50.5,-189.72,2.74,0.99
13,344.6423035,41.2650833,3.354,-1.562,3.742,256.7,48.1,-89.84,4.57,0.0
14,344.6401978,41.2258339,3.259,-3.917,5.641,449.3,52.5,-82.51,3.59,0.0
27,344.5986328,41.2739449,1.385,-1.03,1.744,408.0,52.7,-183.41,3.54,0.98
66,344.5057373,41.3107796,-2.802,1.18,3.104,325.4,54.3,-198.89,4.23,1.0
140,344.5551147,41.3256683,-0.576,2.073,3.031,421.3,63.9,-200.83,4.36,1.0
107,344.632843,41.4096375,2.928,7.112,13.39,268.9,60.8,-110.69,5.57,0.0
81,344.4720764,41.2968063,-4.32,0.342,5.151,155.9,41.9,-191.84,7.7,1.0
133,344.5650024,41.269249,-0.131,-1.312,2.165,247.3,53.7,-202.75,5.34,1.0
148,344.5418701,41.2897491,-1.174,-0.082,1.526,752.0,74.6,-195.4,4.13,1.0
162,344.4934082,41.277916,-3.358,-0.792,4.895,222.1,59.8,-190.77,5.73,1.0
95,344.6997986,41.2482224,5.946,-2.573,6.596,556.5,72.0,-193.45,3.49,1.0
57,344.5328369,41.2856941,-1.581,-0.325,2.255,325.7,48.7,-183.52,3.96,0.98
82,344.4648743,41.3496399,-4.645,3.512,5.891,253.7,46.1,-180.47,5.92,0.96
100,344.4671936,41.188221,-4.54,-6.173,13.405,395.9,65.1,-78.51,5.06,0.0
